,0
URDUMALC,17.527555651610115
URXUMA,17.527555651610115
URXUCR,17.527555651610115
BMXBMI,13.496866220012969
BMXHT,13.377998703263453
INDFMPIR,13.302355738059218
BMXARMC,11.681435055111303
BMXARML,11.638210503566025
BPXPULS,10.514372163388805
BMXWT,7.283336935379295
BMDSTATS,5.943375837475686
RIDEXMON,5.943375837475686
INDHHIN2,5.3058137021828395
DMDHREDZ,5.29500756429652
FIAINTRP,5.122109358115409
FIALANG,5.122109358115409
FIAPROXY,5.122109358115409
INDFMIN2,5.122109358115409
DMDHRMAZ,2.0639723362870113
DMDCITZN,0.03241841365895829
SIAPROXY,0.0
SIALANG,0.0
RIDRETH1,0.0
SDMVSTRA,0.0
SIAINTRP,0.0
DMDBORN4,0.0
DMDHRAGZ,0.0
DMDHHSZB,0.0
DMDHHSZA,0.0
WTINT2YR,0.0
DMDHHSZE,0.0
DMDHRGND,0.0
WTMEC2YR,0.0
SDMVPSU,0.0
DMDFMSIZ,0.0
DMDHHSIZ,0.0
SDDSRVYR,0.0
RIDSTATR,0.0
SEQN,0.0
RIDAGEYR,0.0
RIAGENDR,0.0
RIDRETH3,0.0
